time_id,order_year,quarter
t1233,2016,Q3
t1234,2016,Q3
t1235,2016,Q3
t1236,2016,Q3
t1237,2016,Q3
t1238,2016,Q3
t1239,2016,Q3
t1240,2016,Q3
t1241,2016,Q3
t1242,2016,Q3
t1243,2016,Q3
t1244,2016,Q3
t1245,2016,Q3
t1246,2016,Q3
t1247,2016,Q3
t1248,2016,Q3
t1249,2016,Q3
t1250,2016,Q3
t1251,2016,Q3
t1252,2016,Q3
t1253,2016,Q3
t1254,2016,Q3
t1255,2016,Q3
t1256,2016,Q3
t1257,2016,Q3
t1258,2016,Q3
t1259,2016,Q3
t1260,2016,Q3
t1261,2016,Q3
t1262,2016,Q3
t1263,2016,Q3
t1264,2016,Q3
t1265,2016,Q3
t1266,2016,Q3
t1267,2016,Q3
t1268,2016,Q3
t1269,2016,Q3
t1270,2016,Q3
t1271,2016,Q3
t1272,2016,Q3
t1273,2016,Q3
t1274,2016,Q3
t1275,2016,Q3
t1276,2016,Q3
t1277,2016,Q3
t1278,2016,Q3
t1279,2016,Q3
t1280,2016,Q3
t1281,2016,Q3
t1282,2016,Q3
t1283,2016,Q3
t1284,2016,Q3
t1285,2016,Q3
t1286,2016,Q3
t1287,2016,Q3
t1288,2016,Q3
t1289,2016,Q3
t1290,2016,Q3
t1291,2016,Q3
t1292,2016,Q3
t1293,2016,Q3
t1294,2016,Q3
t1295,2016,Q3
t1296,2016,Q3
t1297,2016,Q3
t1298,2016,Q3
t1299,2016,Q3
t1300,2016,Q3
t1301,2016,Q3
t1302,2016,Q3
t1303,2016,Q3
t1304,2016,Q3
t1305,2016,Q3
t1306,2016,Q3
t1307,2016,Q3
t1308,2016,Q3
t1309,2016,Q3
t1310,2016,Q3
t1311,2016,Q3
t1312,2016,Q3
t1313,2016,Q3
t1314,2016,Q3
t1315,2016,Q3
t1316,2016,Q3
t1317,2016,Q3
t1318,2016,Q3
t1319,2016,Q3
t1320,2016,Q3
t1321,2016,Q3
t1322,2016,Q3
t1323,2016,Q3
t1324,2016,Q3
t1325,2016,Q3
t1326,2016,Q3
t1327,2016,Q3
t1328,2016,Q3
t1329,2016,Q3
t1330,2016,Q3
t1331,2016,Q3
t1332,2016,Q3
t1333,2016,Q3
t1334,2016,Q3
t1335,2016,Q3
t1336,2016,Q3
t1337,2016,Q3
t1338,2016,Q3
t1339,2016,Q3
t1340,2016,Q3
t1341,2016,Q3
t1342,2016,Q3
t1343,2016,Q3
t1344,2016,Q3
t1345,2016,Q3
t1346,2016,Q3
t1347,2016,Q3
t1348,2016,Q3
t1349,2016,Q3
t1350,2016,Q3
t1351,2016,Q3
t1352,2016,Q3
t1353,2016,Q3
t1354,2016,Q3
t1355,2016,Q3
t1356,2016,Q3
